"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"end:ignore-ezic","We will overlook these small transgressions.","Мы готовы закрыть глаза на эти маленькие недочеты."
"end:ignore-ezic","You have been cleared of any suspicion.","С вас сняты все подозрения."
"end:ignore-ezic","Glory to Arstotzka.","Слава Тицкому!"
"end:ignore-ezic","A new agreement has been reached with Kolechia.","С Эндеронией достигнуто новое соглашение."
"end:ignore-ezic","Grestin Border Checkpoint will reopen soon.","Пропускной пункт Грештин скоро вернется к работе."
"end:ignore-ezic","Return to your post on January 1st.","С 1 января вы продолжите работу в той же должности."
"end:ignore-ezic","ENDLESS UNLOCK CODE: 62131","КОД ДЛЯ ОТКРЫТИЯ РЕЖИМА БЕСКОНЕЧНОЙ ИГРЫ: 62131"
"endless:timed","Timed","На время"
"endless:timed","Process as many travelers as possible in 10 minutes.","У вас есть 10 минут: примите как можно больше въезжающих."
"endless:timed","ENDLESS - TIMED

Process as many travelers as possible in 10 minutes. One point per traveler. Lose 30 seconds for each citation.","БЕСКОНЕЧНО - ВРЕМЯ ОГРАНИЧЕНО

У вас есть 10 минут: примите как можно больше въезжающих. Каждый клиент - 1 очко. За каждое замечание вы теряете 30 секунд."
"endless:perfection","Perfection","Совершенство"
"endless:perfection","Game over at first penalty. Earn dwindling points.","Первое замечание - конец игры. Чем дальше, тем меньше дается очков."
"endless:perfection","ENDLESS - PERFECTION

Earn points for processing travelers. No citations allowed. Ten points per traveler in the first minute, one less point for each minute that passes. Work quickly.","БЕСКОНЕЧНО - СОВЕРШЕНСТВО

Получайте очки за каждого въезжающего. Замечания недопустимы. 10 очков за клиента в первую минуту, с каждой последующей минутой - на очко меньше. Работайте быстро!"
"endless:endurance","Endurance","На износ"
"endless:endurance","Play until balance goes negative. Avoid penalties.","Играйте, пока баланс не станет отрицательным. Избегайте замечаний!"
"endless:endurance","ENDLESS - ENDURANCE

Process travelers until your balance drops below zero. Citations penalize an escalating number of points. The highest achieved points are remembered for scoring.","БЕСКОНЕЧНО - НА ИЗНОС

Принимайте въезжающих, пока баланс не упадет ниже нуля. За каждое новое замечание штраф больше. Лучший счет войдет в таблицу рекордов."
"endless:course1","Course 1","Сложность 1"
"endless:course2","Course 2","Сложность 2"
"endless:course3","Course 3","Сложность 3"
"endless:course4","Course 4","Сложность 4"
"bullend:1A","Check rulebook for rules in effect.","Все новые правила можно найти в инструкции."
"bullend:2A","Check rulebook for rules in effect.","Все новые правила можно найти в инструкции."
"bullend:3A","Check rulebook for rules in effect. REASON FOR DENIAL stamp is required when denying entry.","Все новые правила можно найти в инструкции. Для отказа во въезде необходимо поставить печать ПРИЧИНА ОТКАЗА."
"bullend:4A","Check rulebook for rules in effect. REASON FOR DENIAL stamp is required when denying entry.","Все новые правила можно найти в инструкции. Для отказа во въезде необходимо поставить печать ПРИЧИНА ОТКАЗА."
"night:MANAGE_EXPENSES","Manage your expenses using the checkboxes below.","Отметьте расходы, которые можете себе позволить."
"night:AFTER_6PM","Applicants entering after 6PM are unpaid.","За лиц, принятых после 18:00, плата не начисляется."
"night:PROGRESS_SAVED","Progress is saved at the start of each day.","Игра сохраняется в начале каждого дня."
"night:ATTACK_DIDNOTHING","The day was cut short by a terrorist attack.","Рабочий день прерван из-за атаки террористов."
"night:ATTACK_FIREDGUN","The day was cut short by a terrorist attack.","Рабочий день прерван из-за атаки террористов."
"night:ATTACK_FIREDGUN","TRIGGER BONUS","ПРЕМИЯ ЗА ВЫСТРЕЛ"
"night:ATTACK_SOLVED","The day was cut short by a terrorist attack.","Рабочий день прерван из-за атаки террористов."
"night:ATTACK_SOLVED","SHARPSHOOTER BONUS","ПРЕМИЯ ЗА ПОПАДАНИЕ"
"night:POISONING","The day was cut short by a security incident.","Рабочий день прерван из-за пограничного инцидента."
"night:FAMILY_PICTURE","Your wife found an old family picture.","Ваша жена нашла старую семейную фотографию."
"night:BUY_UPGRADE0","Booth Upgrade Available: SPACE key to toggle INSPECT mode.","Улучшение: ПРОБЕЛ - переход в режим ПРОВЕРКА."
"night:BUY_UPGRADE0","UPGRADE BOOTH","УЛУЧШЕНИЕ"
"night:BUY_UPGRADE0","Booth Upgrade Available: Multitouch.","Улучшение: Мультитач."
"night:BUY_UPGRADE1","Booth Upgrade Available: TAB key to toggle stamp bar.","Улучшение: TAB - вызов печатей."
"night:BUY_UPGRADE1","UPGRADE BOOTH","УЛУЧШЕНИЕ"
"night:BUY_UPGRADE2","Booth Upgrade Available: Rulebook shortcuts.","Улучшение: макрокоманды для ""Инструкции""."
"night:BUY_UPGRADE2","UPGRADE BOOTH","УЛУЧШЕНИЕ"
